airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
09CN,50,50,CONC,1,0,H2,
09CO,3250,65,TURF,0,0,9,27
09FA,4800,50,ASPH-E,1,0,18,36
09FD,2649,100,TURF,0,0,18,36
09FL,3000,150,TURF,0,0,9,27
09GA,2400,70,TURF,0,0,9,27
09I,5000,1000,WATER,0,0,5,23
09I,5000,1000,WATER,0,0,8,26
09IA,2700,80,ASPH-TURF,0,0,9,27
09ID,2300,100,TURF,0,0,9,27
09II,1600,100,TURF,0,0,E,W
09IL,40,40,CONC,0,0,H1,
09IN,2200,70,TURF,1,0,9,27
09IN,2200,50,TURF,0,0,18,36
09IS,39,31,CONC,0,0,H1,
09KS,2500,60,TURF,0,0,17,35
09KY,50,50,CONC,0,0,H1,
09LA,50,50,CONC,0,0,H1,
09LL,2300,80,TURF,0,0,17,35
09LS,40,40,CONC,1,0,H1,
09MA,1700,50,TURF,0,0,9,27
09MA,2000,100,TURF,0,0,15,33
09ME,2000,100,TURF,0,0,4,22
09MI,40,40,CONC,0,0,H1,
09MO,1320,50,TURF,0,0,E,W
09N,1863,75,TURF-F,0,0,2,20
09NC,2400,80,TURF,0,0,16,34
09NE,2500,50,TURF,0,0,18,36
09NJ,100,100,TURF,0,0,H1,
09NR,1800,35,Turf,0,0,9,27
09NR,24,24,CON,0,0,H1,H1
09NR,24,24,CON,0,0,H2,H2
09NY,100,100,ASPH,0,0,H1,
09OK,2500,50,TURF,0,0,1,19
09OR,50,50,TURF,0,0,H1,
09PA,2300,200,TURF,0,0,6,24
09S,1765,150,TURF-P,0,0,16,34
09TA,2400,40,TURF-P,0,0,17,35
09TE,2815,45,TURF-F,0,0,16,34
09TN,80,80,CONC,0,0,H1,
09TS,4200,42,ASPH,0,0,9,27
09TX,2340,120,TURF,0,0,10,28
09TX,1220,120,TURF,0,0,14,32
09TX,5200,120,TURF,0,0,E,W
09VA,1100,50,TURF,0,0,5,23
09VG,96,60,CONC,1,0,H1,
09W,60,60,ASPH-G,0,0,H1,
09WA,60,60,CONC,0,0,H1,
09WI,2500,100,TURF,0,0,N,S
